"Polska";"Austria";"Belgia";"Czechy";"Dania";"Finlandia";"Francja";"Niemcy";"Grecja";"Wegry";"Irlandia";"Wlochy";"Luksemburg";"Holandia";"Portugalia";"Slowacja";"Hiszpania";"Szwecja";"Wielka Brytania";"Estonia";"Slowenia";"Lotwa";"Litwa";"OECD"
6.180665;2.288385;1.622659;-0.3475239;-0.2949853;1.434865;0.1888174;-0.03717472;-0.5642279;0.4255319;-0.3234153;-0.4354927;1.10838;-2.360761;-0.6414097;-1.399825;3.347964;-0.1633942;0.9;6.339468;-1.03559;9.438134;5.632337;1.687911
2.86498;2.127095;2.180925;-0.04345937;0.126369;0.7706027;-0.30109;0.2229654;-0.3330051;2.096836;-0.9696186;-0.1900624;1.551692;-1.722414;-1.179128;-0.5571848;3.278716;-0.7100051;1.5;3.233062;-2.11427;9.969408;4.689608;1.685058
0.213025;1.589368;1.613467;-0.5300353;1.400085;-0.284315;0.09694432;-0.1880406;1.37017;1.853282;-0.6462036;-0.1091703;1.701708;-1.201353;-1.011161;-2.312646;2.602586;-1.20204;2;2.138295;-1.436116;7.843503;1.851563;1.281747
-0.3895715;2.329047;1.640624;-0.08841733;1.366937;0.3349107;0.6525285;0.2268431;2.071887;2.251553;-0.8408797;0.5485464;2.18388;0.169358;0.5796329;-1.219875;3.408534;-0.6694361;1.6;2.594142;0.610644;9.524954;3.578145;0.950054
-0.5535257;1.160862;1.280293;-0.5666957;1.183432;-0.1281588;0.9192308;0.6693938;1.929431;4.31433;0.1622323;0.9841443;2.066833;0.9272301;1.575957;-0.1183082;4.2328;-0.9348128;0.6;3.351648;0;8.296128;4.143779;1.717637
-0.06457438;1.062064;1.283387;0.08695652;2.229701;1.221054;1.276807;1.223582;3.395334;6.049291;2.088773;1.060936;1.966469;1.576559;2.753476;1.179593;3.733045;0.3861165;1.1;3.976035;1.637297;6.660899;5.06768;1.464045
1.303633;2.797438;3.259027;2.486679;3.221757;1.845688;2.386395;2.93896;5.053051;9.287339;1.593496;2.15847;2.507955;2.333543;3.151255;1.947857;4.660361;1.784911;3.5;6.090266;3.722504;8.564145;7.253809;2.722192
1.502363;2.361157;4.427013;1.460177;4.256216;2.570305;2.122405;3.319502;4.639007;13.02202;1.728637;2.755046;2.93749;1.730036;3.277802;2.710843;3.828125;1.848058;4.8;6.742795;3.81437;9.093134;7.887109;2.836504
3.422819;2.590164;4.373921;2.981149;4.928989;2.138721;0.9642136;2.659771;3.098312;13.22009;1.295756;2.490525;2.979377;0.9264643;3.572469;3.168493;2.576764;1.789264;4.6;7.496013;3.998355;10.09362;8.723578;2.93483
4.308916;3.809524;3.616266;3.779322;4.197531;1.804556;1.1286;2.820513;1.995625;11.37324;1.822251;2.611036;2.85573;0.4236472;2.382467;2.652288;3.059988;1.363567;5.3;7.962284;6.898748;11.77534;9.524952;3.619933
